#Chinese	#English
地無寒谷春常在 家有芳鄰德不孤	A land free of cold valleys that constantly bathes in Spring, A family with good neighbors is never without virtue.
地獄不空，誓不成佛	I shall never attain buddhahood until hell is emptied
地獄門	gate of hell
地球人	A World Citizen
地球高峰會議	Earth Summit
地藏殿	Ksitigarbha Shrine
地藏法會	Ksitigarbha Dharma Service
地藏王	Ksitigarbha
地藏菩薩本願經	The Original Vows of Ksitigarbha Bodhisattva Sutra
均一國民中小學	Junyi Experimental High school
均頭國民中小學	Jun Tou Elementary and Junior High School
坐具	Sitting Mat
坐如鐘	sit like a bell
坐斷十方	to severe all [delusions] in sitting meditation
執著	attachment
執著自我	attachment to the sense of self
執行長	Director
堂主	Director (of SR, meditation hall)
堂頭和尚	Head of Cultivation Center
報恩	repaying others' kindness
報恩愛國	Love and Repay Your Country
報恩法會	Repaying Gratitude Dharma Service
報應	karmic retribution
報施恩	repay kindness
塵勞	affliction
塵盡光生	when dusts are cleared light will shine
塵緣	worldly affinity
增福慧	increase merit and wisdom
增長	to increase, grow
壽山佛學院	Shou Shan Buddhist College
壽山念佛朝山團	Shou Shan Buddhist Chanting and Pilgrimage Group
外參	Visiting Monastic
外緣	External Conditions
外道	Heretics
多一分禮貌 少一分衝動 多一分公義 少一分特權 多一分服務 少一分自私 多一分慈悲 少一分瞋恚	Be a little more polite and a little less impulsive. Be a little more just and a little less privileged. Be a little more of service and a little less selfish. Be a little more compassionate and a little less angry.
多寶佛	Prabhutaratna Buddha
多讀好書使自己芳香 多說好話令別人歡喜  多做好事讓社會祥和  多發好心增人間美麗	Keep reading good books to keep a fragrant mind. Keep speaking good words to bring joy to others. Keep doing good deeds to maintain harmony in society. Keep thinking good thoughts to add beauty to the world.
夜來偈	Midnight Gatha
夢中明明有六趣 覺後空空無大千	Though in my dream the Six Realms were so distinctly real; Upon awakening, the universe is naught but emptiness.
夢幻泡影	dream, illusion, bubble and shadow
大丈夫論	Treatise on the Great Man
大乘理趣六波羅蜜多經	Sutra on the Mahayana Practice of the Six Perfections
大人大忍	Tremendous Benevolence and Patience
大佛城	Great Buddha Land
大佛平台	Big Buddha Terrace
大佛紀念碑	Great Buddha Memorial Plaque
大公無私	Impartiality and Unselfishness
大千世界古 不二法門深	Ancient is the great world of the universe; Profound is the Gate of Non-Duality.
大和尚	master
大唐玄奘	Xuanzang of the Great Tang Dynasty
大唐西域求法高僧傳	Buddhist Pilgrim Monks of Tang Dynasty
大唐西域記	Great Journey to the West
大圓滿覺	Perfectly Awakened One
大圓鏡智	Great Perfect Mirror Wisdom
大地何許熱 慈悲自清涼	However much the Earth may burn; Compassion keeps everything cool.
大地生機	Earth's Vitality
大地眾生，皆有佛性	all living beings possess buddha-nature
大地眾生，皆有如來智慧德相	all sentient beings possess the wisdom and virtues of the Buddha
大士	Mahasattva
大夢夢中原是夢 此山山外更無山	Dreaming inside the great dream, all is but a dream; Mountain outside the mountains, there are no other mountains.
大學委員	University Board Member
大學校長論壇	University Presidents Forum
大寮	Monastery Kitchen
大專青年禪學營	Buddhist Youth Meditation Camp
大導師	the great teacher
大小乘	Greater or Lesser Vehicles
大師	Venerable Master
大師全集	The Complete Works of Venerable Master Hsing Yun
大師館	Main Hall
大悲懺法會	Great Compassion Repentance Service
大悲殿	Great Compassion Shrine
大慈寺	Da Ci Temple
大慈庵	Mahametta Hall
大慈育幼院	Da Ci Children's Home
大智度論	The Great Perfection of Wisdom Treatise
大智殿	Manjusri Shrine
大智若愚 大巧若拙	The Wise Appears Slow-Witted; The Agile Appears Clumsy
大正藏	Taisho Canon
大無畏	great fearlessness
大眾	Assembly
大磬	Big Gong
大神通	great supernatural power
大禮堂	Devotees Auditorium
大肚包容，歡喜自在	with great magnanimity comes joy and perfect ease
大肚能容世間事 善念不染三界塵	A profusion of mundane affairs, A virtuous mind untainted by universes of troubles.
大肚能容天下事 善心不染世間塵	A profusion of mundane affairs, A virtuous mind untainted by worldly troubles.
大般涅槃經	Mahapariniravana Sutra
大般若經	Mahaprajnaparamita Sutra
大菩薩	great Bodhisattva
大藏經宣傳環境布教	Tripitaka Reprinting Dharma Propagating Tour
大覺堂	Great Enlightenment Auditorium
大道中流	The Truth Lies in the Center of Everything
大道中流 一以貫之	The Truth Lies in the Center of Everything; Be Consistent
大道貫之	Be Consistent with the Great Way
大醫王	Great Lord of healing
大醫王	Great Healing King
大阪四大天寺	Osaka's Shitennoji
大陸探親弘法	Dharma Propagation and Homecoming Tour to China
大雄	Great Hero Monthly
大雄寶殿	Great Hero Shrine
大集經	Great Collection Sutra
天上一輪月 人間萬古情	Beneath the one perfect moon; Myriad timeless sentiments.
天上有池能作雨 人間無地不逢花	From the heavenly pond pours the rain; Out of the earthly ground bloom flowers everywhere.
天下一家	One World, One Family
天下一家 共生共榮	A Life Lived in the Three Acts of Goodness; Buddha Is in All Families
天下為公	What Is Under Heaven Is for All
天下為公 仁義貫之	Follow the Common Spirit and Rule; Enacted by Benevolence and Righteousness
天下為公 大道貫之	What Is Under Heaven Is for All; Put the Great Path into Practice
天下為家	The World Is My Home
天下無難事 只怕有心人	Nothing is impossible; It is all in your mind.
天下聖賢仁者壽 世間凡俗禮為先	Among eminent and sagely ones, benevolence outlives all; Out of all worldly formalities, propriety comes first.
天下聖賢仁者壽 世間凡俗禮為尊	Among eminent and sagely ones, benevolence outlives all; Out of all worldly formalities, propriety is the most noble.
天人	Heavenly Beings
天人師	teacher of heavenly beings and humans
天地並壽 日月同光	Timeless Heaven and Earth; Harmonious Sun and Moon
天地人和 日月心光	Humanity and Nature, Harmony; The Sun and Moon, Light of the Heart
天地仁心	Benevolent Mind of Heaven and Earth
天地仁心圓似月 慈悲愛物暖如春	Benevolence of Heaven and Earth alike the perfect moon; Warmth of compassion and loving-kindness alike Spring.
天地吾心	Heaven and Earth Are in My Heart
天地展開日月明 乾坤供養山河清	Above the shining sun and moon stretch boundless Heaven and Earth; Supporting the pure mountains and rivers the antithesis between heaven and earth.
天地悠悠 氣壯山河	Timeless Heaven and Earth; Like Majestic Mountain and River
天地我心	Heaven and Earth Are in My Heart
天地有情唯日月 古今不老是青山	Between Heaven and Earth, the lonely sentient hearts of the sun and moon; Everlasting in time, the never-aging green mountains.
天地為家隨處去 法界似心任君遊	The whole world is the home in which I freely wander; The dharma realm is the heart that awaits you to explore.
天地為心 人間有望	Heaven and Earth Are My Heart; Hope Is in the Human World
天地間仁義最貴 家庭內孝悌為先	Most noble between Heaven and Earth is benevolence and righteousness; Most important in a family is filial piety and duty.
天地間仁義最貴 家庭內慈孝為先	Most noble between Heaven and Earth is benevolence and righteousness; Most important in a family is loving-kindness and dutifulness.
天堂	Heaven
天堂地獄，來來去去	we go back and forth between heaven and hell
天堂地獄一念之間	Heaven and hell are all in a moment of thought.
天外有天，人外有人	there are always people who are better than you
天女散華	heavenly rain of flowers
天寬地闊平淡裏 山明水秀有無中	Up in the endless sky, over borderless land, within simple ordinary life; Scenic mountains, picturesque waters, both nothing and everything.
天寬地闊平淡裏 山青水綠有無中	Up in the endless sky, over on borderless land, within simple ordinary life; Green mountains, verdant waters, both nothing and everything.
天心月圓 花開四季	The Heart of Heaven Is as Round as the Full Moon; Blossoming Flowers in All Four Seasons
天泰地泰三陽泰 家和人和萬事和	Within heaven, earth, and spring: Prosperity; Between family, people, and everything: Harmony.
天真	Innocence
天眼	divine eye
天眼通	Divine Eye
天福	Heavenly Blessing
天童寺	Tiantong Temple
天耳通	Divine Hearing
天長落日遠 義重泰山輕	At the end of the ever-stretching sky sets the faraway sun; True sentiments make even the highest mountains light as clouds.
天開千里月 人安四季春	A clear sky allows the moon to stretch across a thousand miles; A peaceful mind enjoys spring days across all four seasons.
天開美景風雲靜 春到人間氣象新	Beneath an open sky, beautiful vistas and calm clouds; Upon Spring fresh and new opportunities of life.
天香世界	World of Heavenly Scent
天馬幹部	Pegasus Executive
天龍八部皆歡喜 晝夜六時恒吉祥	Joy among the Eight Divisions of Nagas; Auspice throughout every hour of the day.
太平廣記	Extensive Records of the Taiping Era
太虛大師全書	Collection of Works by Master Taixu
太虛弘法專刊	Taixu’s Dharma Propagation Journal
奈何橋	bridge to hell
奉行	Uphold
好事不出門，壞事傳千里	for evil news rides fast, while good news waits later
好事好話存好心 真情真義真人生	Do good deeds, speak good words, think good thoughts; Genuine sentiment, genuine righteousness, genuine life.
好人二十 做高官親切愛民 做商賈誠信為宗 做軍人盡忠報國 做警察無私服務 做法官公平正義 做教師有教無類 做醫生佛手婆心 做農工勤勞作務 做駕駛守則機敏 做藝人正派守份 做記者傳播好事 做長輩愛護後學 做子女孝敬父母 做夫妻互相體諒 做婆媳尊重包容 做朋友重情講義 做鄰居守望相助 做英雄行俠仗義 做富翁樂善好施 做佛子正信守道	Twenty Ways to be Good:  A good high official is approachable and cares for the people.  A good merchant does business based on honesty.  A good soldier is loyal and dutiful to his country.  A good police officer serves selflessly.  A good judge is just and righteous.  A good teacher instructs impartially.  A good doctor is skillful and compassionate.  A good farmer cultivates with diligence.  A good driver is quick but abides by the traffic rules.  A good artist is righteous and disciplined.  A good journalist spreads good news.  A good senior watches over for his juniors.  A good son or daughter is respectful towards their parents.  A good husband or wife is understanding.  A good mother or daughter-in-law is tolerant and accepting.  A good friend is loyal and righteous.  A good neighbor watches out for the community.  A good hero is just and protects the helpless.  A good billionnaire gives generously.  A good Buddhist abides by righteous faith and the Way.
好人好事	Good People and Good Deeds
好兆頭	good omen
好兒童故事集	Three Acts of Goodness Children Stories
好因好緣	Good Causes and Good Conditions
好因緣	Good Causes and Conditions
好心好報	Good Begets Good
好運	Good Luck
好運到	Good Luck Is Here
如人飲水，冷暖自知	only you would know the taste of the water in your mouth
如何修持佛法	Buddhism in Every Step: Starting a Daily Practice
如何參禪	Practices of Ch'an
如何認識佛光山 1.要看佛光山的內容，不要只看佛光山的外相 2.要看佛光山的大眾，不要只看佛光山的個人 3.要看佛光山的制度，不要只看佛光山的個案 4.要看佛光山的歷史，不要只看佛光山的一時	The Directions of Development for Fo Guang Shan Temples 1. Harmony between tradition and modernism. 2. Co-ownership by monastic and lay disciples. 3. Equal emphasis on practice and understanding. 4. Integration of Buddhism, literature and arts.
如來	Tathagata
如來一代時教	The Teachings of Tathagata's Lifetime
如來佛	Tathagata Buddha
如來善護念 福慧自莊嚴	The Tathagata who safeguards his thoughts Is naturally adorned by merit and wisdom.
如來殿	Tathagata Building
如來殿	Tathagata Shrine
如來殿佛牙舍利殿	Tathagata Building Buddha's Tooth Relic Hall
如來藏	Tathagatagarbha
如入寶山空手回	never leave a treasured mountain empty-handed
如如	Thusness
如如不動	Be Unmovable Like the Absolute Truth
如如禪風	Thus Is the Chan Style
如如自在	Thus at Perfect Ease
如實	according to reality
如實知	to understand things as they really are
如影隨形	like shadows following the body
如意	As You Wish
如意	as one wishes
如意寮	sickbay
如是	thus, so
如是如是	Thus Is, Thus Is
如是我聞; 1. 斷三種疑惑 2. 息諍 3. 異邪	Thus Have I Heard: 1. to remove the three doubts; 2. to quell disputes; 3. to distinguish Buddhism
